Table Name,Audit Task Id,Label Id,Label Type,Lat,Lng,Gsv Panorama Id,Severity,Canvas X,Canvas Y,Deleted,Description (Problem Description),Description,Geom,Heading,Label Point Id,Panorama Lat,Panorama Lng,Photographer Heading,Photographer Pitch,Pitch,Problem Description Id,Sv Image X,Sv Image Y
,109,359,CurbRamp,38.88923101,-76.92974515,jr2p3fMIEIz_c5CZWLBuqw,,423,172,FALSE,,Curb Ramp,0101000020E610000014BFCFF1803B53C0744C5752D2714340,129.1875,344,38.8894043,-76.92995453,113.6200027,0.009541471,-12.75,,5066,-155
,85,259,CurbRamp,38.87215875,-76.93825042,RBX6W9kFUo3GxaMeSnm4Ow,,365,243,FALSE,,Curb Ramp,0101000020E6100000148D774B0C3C53C05927E6E5A26F4340,193.125,244,38.87226486,-76.93821716,13.46000004,2.5247612,-10.1875,,7164,-390
,304,2073,CurbRamp,38.91718874,-76.97238024,ceQ0jocc7GRlzhRArOpL3w,,549,193,FALSE,,Curb Ramp,0101000020E6100000BFDD537A3B3E53C0784AD27066754340,119.203125,2058,38.91723633,-76.97242737,87.76000214,1.855717301,-27.875,,5277,-812
,247,1347,CurbRamp,38.91737726,-76.9777592,8i-lHOhOGRomZioaqIhxOQ,,182,179,FALSE,,Curb Ramp,0101000020E61000001F22579B933E53C0E2A7329E6C754340,146.8125,1332,38.91742325,-76.97784424,327.6499939,0.185198396,-17.125,,4610,-349
,310,2131,CurbRamp,38.91690113,-76.97822388,Jc0du9ta6M6KGdX1YBcKFw,,370,215,FALSE,,Curb Ramp,0101000020E6100000F48859389B3E53C0FF522F045D754340,120,2116,38.91699219,-76.97841644,134.4400024,1.749577761,-10.375,,4483,-267
,303,2035,CurbRamp,38.91714429,-76.97837115,bIzSa5eLQ5aNuRe0meTNJg,,287,144,FALSE,,Curb Ramp,0101000020E6100000E7B80BA29D3E53C022F2EDFB64754340,108.1875,2020,38.91717911,-76.97866058,97.34999847,2.583451748,-18.75,,3664,-246
,310,2133,CurbRamp,38.9171331,-76.97846776,Jc0du9ta6M6KGdX1YBcKFw,,494,267,FALSE,,Curb Ramp,0101000020E610000068993C379F3E53C0331C079E64754340,327.75,2118,38.91699219,-76.97841644,134.4400024,1.749577761,-7.5625,,12735,-405
,241,1300,CurbRamp,38.91692142,-76.97847672,zlOIMnc52zzfb9JtPReO7w,,260,232,FALSE,,Curb Ramp,0101000020E61000002B2CD55C9F3E53C059595CAE5D754340,2.25,1285,38.91685867,-76.97846222,66.26000214,1.006610751,-24.0625,,12935,-852
,243,1313,CurbRamp,38.91698381,-76.97847773,wJp32pOHeG9XSyWwWlDQMQ,,517,162,FALSE,,Curb Ramp,0101000020E610000063F309619F3E53C0ADD5ADB95F754340,270.5625,1298,38.9169426,-76.97833252,135.7599945,0.818742573,-22,,10727,-450
,304,2042,CurbRamp,38.91712446,-76.97848897,VTseWQv6LxjcZf4O4jWi1g,,308,254,FALSE,,Curb Ramp,0101000020E610000091D636909F3E53C0D2999A5564754340,152.8125,2027,38.91718292,-76.97853851,172.8500061,2.270357132,-15.25,,5411,-629
,241,1297,Obstacle,38.91679424,-76.97851733,d8GYDrJxHnf3VdfcgvT5sA,,367,235,FALSE,,Obstacle in a Path,0101000020E6100000B6D82007A03E53C034A1878359754340,58.875,1282,38.91672134,-76.97867584,46.74000168,1.609013319,-11.875,,2209,-415
,241,1301,CurbRamp,38.91697929,-76.97854145,zlOIMnc52zzfb9JtPReO7w,,123,135,FALSE,,Curb Ramp,0101000020E61000004AC94B6CA03E53C09D12C7935F754340,2.25,1286,38.91685867,-76.97846222,66.26000214,1.006610751,-24.0625,,12305,-401
,245,1324,CurbRamp,38.91741974,-76.97861951,#NAME?,,445,238,FALSE,,Curb Ramp,0101000020E6100000E539B8B3A13E53C05DC687026E754340,330.1875,1309,38.91724014,-76.97853851,179.2100067,-0.36676842,-12.625,,12600,-457
,245,1328,CurbRamp,38.91723579,-76.97866859,#NAME?,,425,229,FALSE,,Curb Ramp,0101000020E6100000A3829581A23E53C0422583FB67754340,259.3125,1313,38.91724014,-76.97853851,179.2100067,-0.36676842,-15.625,,9887,-526
,304,2047,CurbRamp,38.91722106,-76.97869001,VTseWQv6LxjcZf4O4jWi1g,,303,190,FALSE,,Curb Ramp,0101000020E6100000EE226DDBA23E53C076F4EF7F67754340,295.125,2032,38.91718292,-76.97853851,172.8500061,2.270357132,-19.5625,,10650,-490
,254,1411,Obstacle,38.92016246,-76.97871988,6i-kObtqABLOsNxCX8anrg,,383,285,FALSE,,Obstacle in a Path,0101000020E6100000C79FB558A33E53C00CDD2DE2C7754340,226.5,1396,38.92022705,-76.97862244,90.37999725,1.906080127,-8,,8481,-505
,168,764,CurbRamp,38.9023791,-76.97875881,#NAME?,,264,201,FALSE,,Curb Ramp,0101000020E61000000D4BFAFBA33E53C073308D2881734340,139.6875,749,38.90250778,-76.97897339,191.3300018,2.276782036,-13.8125,,4723,-329
,168,761,CurbRamp,38.90254696,-76.97884972,#NAME?,,269,260,FALSE,,Curb Ramp,0101000020E610000047964D79A53E53C062C89CA886734340,79.125,746,38.90250778,-76.97897339,191.3300018,2.276782036,-11.9375,,2507,-534
,170,797,CurbRamp,38.90081724,-76.97889202,oYTXqyROI61urHP-AlfMUw,,595,340,FALSE,,Curb Ramp,0101000020E6100000E4B4BA2AA63E53C0B8C5AFFA4D734340,75.5625,782,38.90084076,-76.97900391,180.4199982,2.510328531,-3,,3875,-575
,167,749,SurfaceProblem,38.9037551,-76.97889754,PR11qekTn6bP23RyXk1dpA,,338,258,FALSE,,Surface Problem,0101000020E61000004C4DDD41A63E53C00803443FAE734340,78.5625,734,38.9037323,-76.97901154,155.3899994,0.974933505,-14.1875,,2803,-608
,170,804,CurbRamp,38.90031492,-76.97891789,gVmvZOa7uvN9HvMfrnylbg,,312,194,FALSE,,Curb Ramp,0101000020E610000024CB3C97A63E53C00E3CF9843D734340,95.625,789,38.90031433,-76.97904205,190.8200073,2.848126173,-21,,3315,-562
,167,751,CurbRamp,38.90363403,-76.97894304,PR11qekTn6bP23RyXk1dpA,,571,224,FALSE,,Curb Ramp,0101000020E610000063D6B000A73E53C0CBC79C47AA734340,125.0625,736,38.9037323,-76.97901154,155.3899994,0.974933505,-14.5625,,5595,-464
,169,786,CurbRamp,38.9017823,-76.97903094,v0T8NoLfn1N98AWB-Z6dnA,,328,223,FALSE,,Curb Ramp,0101000020E6100000FEB76771A83E53C0DCF03C9A6D734340,199.3125,771,38.90188217,-76.97899628,179.6499939,2.264151573,-16.25,,7222,-521
,250,1360,CurbRamp,38.91987278,-76.97908415,I6ntmUmh-zbCwHQeqi_zXg,,390,149,FALSE,,Curb Ramp,0101000020E6100000D9F58F50A93E53C008101E64BE754340,273.9375,1345,38.91986084,-76.97896576,324.1799927,-5.393954277,-19.4375,,10267,-295
,167,746,CurbRamp,38.90377548,-76.97910542,PR11qekTn6bP23RyXk1dpA,,271,327,FALSE,,Curb Ramp,0101000020E61000001B95C3A9A93E53C0EC323DEAAE734340,311.8125,731,38.9037323,-76.97901154,155.3899994,0.974933505,-6.3125,,11120,-637
,250,1367,CurbRamp,38.91977338,-76.97910857,OZinKp8weCIryxuVs4o2IQ,,425,158,FALSE,,Curb Ramp,0101000020E61000009F4002B7A93E53C057315622BB754340,198,1352,38.91992569,-76.97901154,338.0499878,-4.917315006,-19.625,,7620,-344
,166,734,CurbRamp,38.90432035,-76.97911241,oBJ4pCldi0c8sN_aWIBpuw,,338,128,FALSE,,Curb Ramp,0101000020E6100000FB711AC7A93E53C012EEE9C4C0734340,225.9375,719,38.90442276,-76.97898865,180.4299927,-0.354657978,-26.1875,,8253,-447
,167,745,CurbRamp,38.90375187,-76.97912683,PR11qekTn6bP23RyXk1dpA,,121,322,FALSE,,Curb Ramp,0101000020E610000073C69803AA3E53C089702C24AE734340,311.8125,730,38.9037323,-76.97901154,155.3899994,0.974933505,-6.3125,,10430,-614
,250,1363,CurbRamp,38.92004199,-76.97913576,OZinKp8weCIryxuVs4o2IQ,,370,155,FALSE,,Curb Ramp,0101000020E6100000352C0529AA3E53C05BBE9CEFC3754340,318.9375,1348,38.91992569,-76.97901154,338.0499878,-4.917315006,-20,,11839,-344
,250,1373,CurbRamp,38.92011886,-76.97915975,8_Dp22eK6sOGZ3puNKk_Kw,,289,180,FALSE,,Curb Ramp,0101000020E61000002238A68DAA3E53C030617674C6754340,326.4375,1358,38.91998673,-76.97900391,350.1600037,-4.075597763,-13.8125,,11744,-231